cust_id,hybrid_score_0_100,lead_score_0_100,ml_proba,cltv_profit,cltv_decile,cltv_category_q,priority_flag,recommended_action,champion_model,nbp_1,nbp_1_score,nbp_2,nbp_2_score,nbp_3,nbp_3_score,acct_cnt,sa_cnt,ca_cnt,txn_cnt_12m,txn_months_12m,txn_amt_12m,avg_txn_amt_12m,std_txn_amt_12m,med_txn_amt_12m,debit_cnt_12m,credit_cnt_12m,recency_days,chrg_amt_12m,chrg_months_12m,avg_bal_12m_savings,avg_bal_12m_current_ac,avg_bal_12m_td
C00135,97.0,100,0.9333333373069763,12756,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.717,Personal Loan,0.531,FD,0.436,2,1.0,0.0,87,12,191115.11000000004,2196.725402298851,2805.585305857952,1034.89,87.0,0.0,0,1697.1999999999998,12.0,98.14,0.0,0.0
C00251,76.0,71,0.8342857241630555,9090,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.798,Personal Loan,0.78,Overdraft,0.487,2,0.0,1.0,89,12,339295.91000000003,3812.313595505618,2529.9251735814278,3571.78,89.0,0.0,0,1195.92,9.0,0.0,295.59,0.0
C00399,78.0,67,0.9333333373069763,8504,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.843,Personal Loan,0.718,Overdraft,0.593,3,1.0,1.0,179,12,418927.61000000016,2340.3777094972074,2054.268018000738,1480.29,179.0,0.0,0,1411.22,9.0,141.97,621.06,0.0
C00212,78.0,67,0.9333333373069763,8492,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.764,Personal Loan,0.574,FD,0.38,3,1.0,0.0,122,12,271670.89999999997,2226.8106557377046,2687.922429362004,981.27,122.0,0.0,-6,1369.0100000000002,10.0,61.04,0.0,499.3
C00020,74.0,61,0.925,7807,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.838,Personal Loan,0.828,Overdraft,0.582,3,0.0,1.0,141,12,460970.2999999999,3269.2929078014176,2275.15703108176,2861.92,141.0,0.0,0,1070.15,9.0,0.0,514.31,0.0
C00184,73.0,60,0.9333333373069763,7607,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.787,Personal Loan,0.64,FD,0.433,3,1.0,0.0,136,12,317805.86000000004,2336.8077941176475,2363.684940138609,1569.5549999999998,136.0,0.0,0,1524.6200000000001,10.0,89.89,0.0,0.0
C00108,70.0,55,0.9333333373069763,7040,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.755,Personal Loan,0.586,FD,0.475,2,1.0,1.0,114,12,256724.38999999998,2251.9683333333332,1993.387357129237,1449.4899999999998,114.0,0.0,-1,1128.6799999999998,6.0,111.09,233.52,0.0
C00113,61.0,50,0.7700000047683716,6370,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.862,Personal Loan,0.684,Overdraft,0.468,3,1.0,1.0,200,12,433476.0400000002,2167.380200000001,1800.2638278592535,1641.325,200.0,0.0,-1,1442.2600000000002,8.0,190.45,83.02,713.25
C00248,63.0,49,0.8450000047683716,6310,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.852,Personal Loan,0.744,Overdraft,0.476,3,0.0,1.0,183,12,443672.86999999976,2424.441912568305,1662.4612539082896,2144.93,183.0,0.0,0,964.0699999999999,8.0,0.0,102.51,0.0
C00392,66.0,48,0.925,6164,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.758,Personal Loan,0.502,FD,0.472,2,1.0,0.0,142,12,222093.21000000002,1564.0366901408452,1279.705198678917,1150.9450000000002,142.0,0.0,-1,1027.27,7.0,194.21,0.0,0.0
C00450,63.0,47,0.8790870785713196,5999,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.829,Personal Loan,0.705,FD,0.423,3,1.0,0.0,167,12,397628.6600000001,2381.009940119761,2450.2895814351727,1451.14,167.0,0.0,0,1803.8600000000001,11.0,61.27,0.0,0.0
C00025,65.0,47,0.9142857193946838,5972,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.869,Personal Loan,0.68,Overdraft,0.476,3,1.0,1.0,204,12,451400.30000000034,2212.7465686274527,1934.0089190717952,1521.365,204.0,0.0,-1,1006.97,9.0,74.17,90.47,1240.27
C00255,64.0,46,0.9009523868560791,5903,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.82,Personal Loan,0.768,Overdraft,0.561,2,0.0,1.0,133,12,413332.87000000005,3107.7659398496244,1946.8679307252503,2843.04,133.0,0.0,0,835.4,4.0,0.0,494.64,241.61
C00036,65.0,46,0.9333333373069763,5898,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.908,Personal Loan,0.79,Overdraft,0.67,3,1.0,1.0,231,12,532560.4600000001,2305.456536796537,2005.3420409598455,1724.8,231.0,0.0,-3,1082.5,9.0,44.56,779.0,302.1
C00129,60.0,44,0.8342857241630555,5667,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.81,Personal Loan,0.704,Overdraft,0.579,2,0.0,1.0,135,12,384185.52,2845.818666666667,1934.5902352597534,2803.79,135.0,0.0,-1,910.4,7.0,0.0,611.16,705.26
C00465,66.0,44,1.0,5645,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.772,Personal Loan,0.622,FD,0.422,3,1.0,0.0,123,12,291319.36,2368.450081300813,2625.5047006434424,1352.8,123.0,0.0,0,1184.2,12.0,60.56,0.0,0.0
C00395,60.0,44,0.8366666674613953,5607,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.73,Personal Loan,0.423,FD,0.356,2,1.0,0.0,122,12,186342.88000000003,1527.4006557377052,1160.0932204269438,1238.38,122.0,0.0,-7,867.51,8.0,140.29,0.0,1129.12
C00088,63.0,43,0.925,5483,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.777,Personal Loan,0.622,FD,0.477,3,1.0,0.0,129,12,297924.92,2309.495503875969,2375.861926998469,1465.13,129.0,0.0,-2,910.8399999999999,8.0,207.36,0.0,0.0
C00019,63.0,43,0.9333333373069763,5457,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.745,Personal Loan,0.543,FD,0.486,3,1.0,0.0,117,12,231036.30999999994,1974.6693162393158,2060.241870033512,1311.23,117.0,0.0,-2,994.0899999999999,6.0,231.66,0.0,0.0
C00028,62.0,42,0.925,5346,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.826,Personal Loan,0.759,Overdraft,0.598,3,0.0,1.0,147,12,417520.91,2840.278299319728,2336.593410701147,2423.77,147.0,0.0,-1,1293.49,10.0,0.0,643.07,0.0
C00309,55.0,41,0.7508884102106095,5287,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.724,Overdraft,0.546,Personal Loan,0.545,1,0.0,1.0,71,12,196548.03999999998,2768.2822535211267,2262.0796636939435,2402.2,71.0,0.0,0,659.97,4.0,0.0,738.52,901.2
C00193,55.0,41,0.7688095271587372,5227,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.699,Personal Loan,0.462,FD,0.403,2,1.0,0.0,84,12,159215.43000000002,1895.421785714286,2165.861210703332,1063.2150000000001,84.0,0.0,0,1464.98,10.0,110.04,0.0,440.27
C00375,58.0,40,0.8583333373069764,5056,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.722,Personal Loan,0.522,FD,0.32,2,1.0,0.0,70,12,192498.53,2749.979,3103.478515538046,1152.415,70.0,0.0,-10,998.18,7.0,86.25,0.0,1325.26
C00011,56.0,38,0.8342857241630555,4898,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.701,Personal Loan,0.482,FD,0.402,2,1.0,0.0,82,12,163083.20000000004,1988.8195121951223,2503.6944571838417,1131.46,82.0,0.0,-14,803.73,5.0,56.32,0.0,226.22
C00486,57.0,37,0.8583333373069764,4762,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.798,FD,0.758,Overdraft,0.72,3,1.0,1.0,141,12,343119.18,2433.4693617021276,2406.3625678685407,1792.86,141.0,0.0,0,866.8700000000001,8.0,475.37,1253.62,0.0
C00219,56.0,37,0.8450000047683716,4703,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.827,Personal Loan,0.646,FD,0.38,3,1.0,0.0,172,12,378427.74999999994,2200.161337209302,2051.6985234350227,1491.76,172.0,0.0,-5,853.5,6.0,103.18,0.0,691.96
C00291,53.0,36,0.7771428644657135,4607,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.833,Personal Loan,0.72,Overdraft,0.486,3,1.0,1.0,163,12,417307.0499999999,2560.1659509202445,2319.2936993956464,1665.85,163.0,0.0,0,995.3700000000001,10.0,170.84,178.2,348.69
C00305,59.0,36,0.925,4587,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.851,Personal Loan,0.685,FD,0.548,3,1.0,1.0,195,12,405092.0999999998,2077.3953846153836,1646.5800995516172,1590.36,195.0,0.0,0,799.18,6.0,234.2,423.8,0.0
C00048,59.0,36,0.925,4576,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.72,Personal Loan,0.549,FD,0.431,2,1.0,0.0,83,12,195971.49000000002,2361.1022891566267,2866.426168537471,1156.49,83.0,0.0,-4,800.4300000000001,6.0,84.58,0.0,0.0
C00279,52.0,35,0.7688095271587372,4478,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.727,Personal Loan,0.576,FD,0.473,2,1.0,0.0,79,12,205728.36999999994,2604.15658227848,3066.949259889313,1262.42,79.0,0.0,-4,929.0400000000001,6.0,197.66,0.0,0.0
C00430,51.0,33,0.7688095271587372,4255,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.82,Personal Loan,0.73,FD,0.499,3,1.0,1.0,149,12,398163.34999999986,2672.2372483221466,2622.1967754622083,1761.94,149.0,0.0,-2,743.1800000000001,7.0,220.43,120.52,0.0
C00360,54.0,33,0.8594578623771667,4226,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.623,FD,0.455,Personal Loan,0.319,1,1.0,0.0,62,12,56119.98000000001,905.1609677419357,545.9962899673078,804.075,62.0,0.0,-4,589.27,3.0,147.03,0.0,0.0
C00444,54.0,33,0.8450000047683716,4209,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.715,Personal Loan,0.459,FD,0.427,2,1.0,0.0,110,12,169271.86,1538.8350909090907,1142.530001309861,1246.0900000000001,110.0,0.0,-3,760.3,6.0,73.12,0.0,0.0
C00050,54.0,33,0.8450000047683716,4205,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.726,FD,0.465,Personal Loan,0.449,2,1.0,0.0,124,12,172343.58,1389.8675806451613,1142.6849701558674,1086.17,124.0,0.0,0,663.63,4.0,174.09,0.0,0.0
C00403,49.0,32,0.7409523874521255,4050,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.779,Personal Loan,0.575,FD,0.502,2,1.0,1.0,137,12,292629.4799999999,2135.9816058394154,2074.367111327975,1278.06,137.0,0.0,-3,504.01,5.0,357.06,190.04,687.98
