cust_id,cltv_profit,age,income_annual_inr,credit_score,pd_12m,lgd_pct,ead_factor,avg_bal_12m_td,avg_bal_12m_savings,avg_bal_12m_current_ac,num_products,num_distinct_products,own_cnt_prod_P001,own_cnt_prod_P002,own_cnt_prod_P003,own_cnt_prod_P004,own_cnt_prod_P005,own_cnt_family_CREDIT_CARD,own_cnt_family_DEPOSIT_CURRENT,own_cnt_family_DEPOSIT_SAVINGS,own_cnt_family_OVERDRAFT,own_cnt_family_TERM_LOAN,has_any_product,has_loan_product,cbs_num_accounts,cbs_total_sanct_lim,cbs_total_clr_bal_amt,cbs_loan_acct_cnt,cbs_any_overdue,cbs_any_npa,cbs_max_dpd_days,cbs_txn_cnt_30d,cbs_txn_sum_30d,cbs_txn_avg_30d,cbs_txn_cnt_90d,cbs_txn_sum_90d,cbs_txn_avg_90d,cbs_txn_cnt_365d,cbs_txn_sum_365d,cbs_txn_avg_365d,cbs_txn_recency_days,cbs_emi_txn_cnt_365d,num_leads,num_distinct_lead_products,lead_recency_days,lead_cnt_prod_P001,lead_cnt_prod_P002,lead_cnt_prod_P003,lead_cnt_prod_P004,lead_cnt_prod_P005,total_balance_all_banks,anchor_balance,competitor_balance,aa_num_accounts,aa_num_anchor_accounts,aa_num_comp_accounts,aa_txn_count_total,aa_txn_count_90d,aa_avg_txn_amount,aa_digital_usage_ratio,aa_avg_monthly_inflows,aa_avg_monthly_outflows
C00001,2483,19,362519.91,610,0.04,0.5,0.8,0.0,0.0,212.55,2,2,1,0,0,1,0,0,1,0,1,0,1,0,2,50000.0,8226.699999999999,1,0,0,0.0,,,,,,,74.0,190088.111,2568.758256756757,132,18.0,1.0,1.0,1369.0,0.0,0.0,0.0,0.0,1.0,21863.05,8226.7,13636.35,4.0,2.0,2.0,176.0,30.0,1912.568579545455,0.7215909090909091,2097.3025,25953.703333333335
C00002,2319,43,156284.35,565,0.1,0.6,0.9,0.0,0.0,179.42,2,2,1,1,0,0,0,1,1,0,0,0,1,0,2,300000.0,1603.02,1,0,0,0.0,,,,,,,69.0,173350.61800000002,2512.3277971014495,132,15.0,1.0,1.0,816.0,1.0,0.0,0.0,0.0,0.0,1824.04,1603.02,221.02,5.0,2.0,3.0,239.0,34.0,2208.102343096234,0.7071129707112971,7935.544166666667,36042.494166666664
C00003,820,71,1000000.0,682,0.04,0.5,0.8,0.0,207.16,0.0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0.0,207.16,0,0,0,0.0,,,,,,,41.0,35967.630000000005,877.259268292683,132,8.0,1.0,1.0,1532.0,1.0,0.0,0.0,0.0,0.0,207.16,207.16,0.0,1.0,1.0,0.0,62.0,18.0,875.0914516129031,0.8387096774193549,0.0,4521.305833333333
C00004,206,72,1000000.0,780,0.01,0.4,0.7,1010.0,0.0,290.83,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0.0,290.83,0,0,0,0.0,,,,,,,45.0,164050.169,3645.559311111111,133,9.0,1.0,1.0,1291.0,0.0,0.0,0.0,1.0,0.0,1201.77,290.83,910.94,3.0,1.0,2.0,151.0,20.0,2485.1214569536423,0.7549668874172185,3638.950833333333,27632.16083333333
C00005,39,41,1937661.27,740,0.01,0.4,0.7,1063.26,63.57,0.0,2,2,0,1,0,0,1,1,0,1,0,0,1,0,2,1000000.0,9757.81,1,0,0,0.0,,,,,,,60.0,106737.55054814332,1778.9591758023887,120,9.0,1.0,1.0,313.0,0.0,0.0,0.0,0.0,1.0,14665.3,9757.81,4907.49,7.0,2.0,5.0,247.0,0.0,1904.2675708502024,0.680161943319838,19088.236666666668,20107.9375
C00007,736,43,381878.63,645,0.04,0.5,0.8,305.49,240.55,261.02,2,2,1,0,0,0,1,0,1,1,0,0,1,0,2,0.0,501.57,0,0,0,0.0,,,,,,,81.0,173213.581,2138.4392716049383,135,26.0,1.0,1.0,1122.0,0.0,0.0,1.0,0.0,0.0,2256.02,501.57,1754.45,6.0,2.0,4.0,310.0,42.0,1791.0624193548383,0.7193548387096774,14992.475833333332,31276.63666666667
C00008,3050,58,376458.4,769,0.01,0.4,0.7,0.0,49.3,0.0,2,2,0,0,0,1,1,0,0,1,1,0,1,0,2,200000.0,19802.33,1,0,0,0.0,,,,,,,77.0,134312.94,1744.3238961038962,132,18.0,1.0,1.0,1505.0,1.0,0.0,0.0,0.0,0.0,53717.84,19802.33,33915.51,4.0,2.0,2.0,190.0,29.0,1226.9953157894736,0.7263157894736842,2984.0975,16443.328333333335
C00009,2879,19,644496.03,764,0.01,0.4,0.7,0.0,0.0,192.8,2,2,1,1,0,0,0,1,1,0,0,0,1,0,2,100000.0,4208.7,1,1,0,81.0,,,,,,,101.0,279447.70300000004,2766.80894059406,132,20.0,1.0,1.0,1390.0,0.0,0.0,0.0,0.0,1.0,4538.68,4208.700000000001,329.98,4.0,2.0,2.0,215.0,43.0,2021.812558139535,0.7674418604651163,1316.31,34907.831666666665
C00010,620,41,130612.61,595,0.1,0.6,0.9,0.0,0.0,237.19,3,3,1,0,1,1,0,0,1,0,1,1,1,1,3,600000.0,19601.63,2,0,0,0.0,,,,5.0,9266.144684126004,1853.228936825201,78.0,135524.90705261676,1737.4988083668816,80,20.0,1.0,1.0,1075.0,0.0,0.0,1.0,0.0,0.0,19767.460000000003,19601.63,165.82999999999998,5.0,3.0,2.0,107.0,0.0,1454.703738317757,0.7009345794392523,4023.06,8948.048333333334
C00011,4898,37,155290.67,745,0.01,0.4,0.7,226.22,56.32,0.0,2,2,0,0,1,0,1,0,0,1,0,1,1,1,2,1000000.0,4388.5599999999995,1,0,0,0.0,,,,,,,52.0,121273.71,2332.186730769231,146,8.0,1.0,1.0,1618.0,0.0,0.0,0.0,0.0,1.0,4388.5599999999995,4388.5599999999995,0.0,2.0,2.0,0.0,82.0,19.0,1988.819512195122,0.8292682926829268,0.0,13590.266666666668
