Change_ID,Transaction_ID,Changed_By,Change_Type,Old_Value,New_Value,Change_Timestamp,Reason
CHG00000001,TXN000004240,System,Amount Correction,8468.06,8507.934599577527,2022-09-05 18:11:05,Manual review
CHG00000002,TXN000002361,System,Merchant Update,Education,Travel,2022-12-04 09:55:59,Customer dispute
CHG00000003,TXN000000814,System,Amount Correction,4448.07,4612.7227443435395,2022-04-23 02:33:29,Manual review
CHG00000004,TXN000000856,System,Merchant Update,Travel,Groceries,2024-12-28 11:05:05,Bank correction
CHG00000005,TXN000002066,System,Merchant Update,Travel,Healthcare,2025-09-17 23:34:53,Customer dispute
CHG00000006,TXN000000682,Ops_User_2,Channel Update,ATM,Branch,2022-12-06 15:40:48,Customer dispute
CHG00000007,TXN000001965,Ops_User_25,Status Update,Completed,Completed,2022-07-22 09:29:51,Manual review
CHG00000008,TXN000004313,System,Merchant Update,Groceries,Salary,2022-01-16 01:02:45,Chargeback
CHG00000009,TXN000000074,System,Status Update,Completed,Completed,2025-10-28 08:16:36,Customer dispute
CHG00000010,TXN000004919,System,Amount Correction,69388.98,73856.21872722529,2022-12-17 07:20:32,Manual review
CHG00000011,TXN000000730,System,Amount Correction,77773.77,78962.29340788201,2024-04-23 20:39:29,Customer dispute
CHG00000012,TXN000002753,System,Merchant Update,Dining,Groceries,2025-08-14 07:36:41,Chargeback
CHG00000013,TXN000003524,Ops_User_39,Channel Update,POS,ATM,2022-01-08 14:07:59,Customer dispute
CHG00000014,TXN000002267,Ops_User_25,Reversal,Completed,Reversed,2022-05-08 22:47:56,Bank correction
CHG00000015,TXN000000456,Ops_User_30,Status Update,Completed,Completed,2022-08-10 20:55:34,Manual review
CHG00000016,TXN000003483,System,Reversal,Completed,Reversed,2024-12-17 08:47:33,Chargeback
CHG00000017,TXN000003711,System,Status Update,Completed,Completed,2024-12-07 17:06:56,Duplicate txn
CHG00000018,TXN000004835,System,Amount Correction,4592.57,4526.780020865956,2022-06-24 00:58:01,Manual review
CHG00000019,TXN000001495,System,Merchant Update,Travel,Salary,2022-02-25 09:46:28,Duplicate txn
CHG00000020,TXN000003320,System,Channel Update,ATM,POS,2024-01-24 23:08:34,Bank correction
CHG00000021,TXN000000489,Ops_User_5,Reversal,Completed,Reversed,2022-06-06 02:43:03,Bank correction
CHG00000022,TXN000000990,Ops_User_2,Amount Correction,51615.29,50162.43793492684,2023-11-20 09:05:14,Bank correction
CHG00000023,TXN000001346,System,Channel Update,Online,Branch,2024-01-13 04:08:27,Duplicate txn
CHG00000024,TXN000003182,Ops_User_22,Amount Correction,9424.53,9859.774509995475,2023-10-07 11:35:36,Duplicate txn
CHG00000025,TXN000002341,Ops_User_15,Channel Update,Online,ATM,2022-12-16 23:20:14,Chargeback
CHG00000026,TXN000000903,Ops_User_31,Reversal,Completed,Reversed,2022-11-08 15:22:54,Bank correction
CHG00000027,TXN000002455,System,Channel Update,Online,POS,2024-12-27 09:44:18,Customer dispute
CHG00000028,TXN000003103,Ops_User_7,Channel Update,POS,Branch,2022-08-08 23:42:45,Manual review
CHG00000029,TXN000001652,Ops_User_6,Status Update,Completed,Completed,2023-10-31 19:07:16,Chargeback
CHG00000030,TXN000002179,Ops_User_18,Status Update,Completed,Failed,2023-07-18 11:17:32,Customer dispute
CHG00000031,TXN000003561,Ops_User_15,Status Update,Completed,Completed,2025-04-08 21:10:37,Duplicate txn
CHG00000032,TXN000000868,Ops_User_33,Reversal,Completed,Reversed,2023-08-27 12:42:22,Duplicate txn
