History_ID,Account_ID,Customer_ID,Transaction_Date,Transaction_Type,Amount,Channel,Merchant_Category,Transaction_Status
HIST000000001,ACCT00000584,CUST000466,2018-07-10 16:28:37,Credit,6482.350422093116,Branch,Travel,Completed
HIST000000002,ACCT00000620,CUST000353,2020-12-10 15:03:57,Credit,2399.21853012246,Mobile App,E-commerce,Completed
HIST000000003,ACCT00000468,CUST000232,2021-03-27 11:52:09,Debit,1889.3382439508896,Online,Education,Completed
HIST000000004,ACCT00000198,CUST000487,2021-03-04 12:13:23,Debit,6492.61720289257,POS,Travel,Completed
HIST000000005,ACCT00000698,CUST000345,2021-03-11 10:40:52,Debit,4939.525124180787,POS,Utilities,Completed
HIST000000006,ACCT00000542,CUST000158,2016-12-11 04:17:34,Debit,6442.382704952661,Online,Travel,Completed
HIST000000007,ACCT00000025,CUST000081,2016-05-16 10:57:36,Debit,10409.748035981596,Mobile App,Entertainment,Completed
HIST000000008,ACCT00000404,CUST000430,2020-08-30 03:14:40,Debit,7516.232762893857,POS,Healthcare,Completed
HIST000000009,ACCT00000105,CUST000198,2018-12-05 08:35:19,Credit,10490.503208057375,Branch,Groceries,Completed
HIST000000010,ACCT00000683,CUST000477,2017-05-09 21:40:57,Debit,10204.971312182424,Branch,Healthcare,Completed
HIST000000011,ACCT00000345,CUST000485,2020-08-24 07:01:32,Credit,16262.760186957323,ATM,Utilities,Completed
HIST000000012,ACCT00000168,CUST000178,2019-09-13 08:16:26,Credit,12642.441900744838,Online,Fuel,Completed
HIST000000013,ACCT00000082,CUST000205,2016-01-17 10:21:58,Debit,3052.178147949443,Branch,Groceries,Completed
HIST000000014,ACCT00000140,CUST000276,2021-01-06 15:48:03,Debit,8150.069956047495,Mobile App,Dining,Completed
HIST000000015,ACCT00000166,CUST000479,2015-04-28 15:07:28,Credit,8253.421934259954,Branch,E-commerce,Completed
HIST000000016,ACCT00000602,CUST000430,2018-01-12 15:06:02,Debit,10202.499325670353,Mobile App,Salary,Completed
HIST000000017,ACCT00000453,CUST000362,2021-08-19 21:21:47,Credit,2329.1008733017648,POS,Education,Completed
HIST000000018,ACCT00000280,CUST000413,2016-07-21 04:41:23,Debit,15183.62540782493,Mobile App,Entertainment,Completed
HIST000000019,ACCT00000326,CUST000011,2020-12-12 09:01:04,Credit,10736.453782307402,Online,Entertainment,Completed
HIST000000020,ACCT00000655,CUST000022,2018-11-20 05:58:06,Debit,12275.297569585928,Online,Education,Completed
HIST000000021,ACCT00000533,CUST000375,2016-11-01 22:17:41,Credit,6677.85630221853,Mobile App,Salary,Completed
HIST000000022,ACCT00000082,CUST000205,2017-12-06 23:37:58,Debit,7861.98710807665,ATM,Groceries,Completed
HIST000000023,ACCT00000142,CUST000425,2018-03-24 14:47:29,Debit,15626.924980340538,POS,Education,Completed
HIST000000024,ACCT00000170,CUST000257,2015-07-30 08:59:25,Credit,26380.217437602216,Online,Travel,Completed
HIST000000025,ACCT00000535,CUST000236,2018-04-12 06:59:00,Credit,11376.1159108065,Branch,Entertainment,Completed
HIST000000026,ACCT00000509,CUST000086,2015-08-01 03:33:49,Credit,4370.313727243407,Branch,Education,Completed
HIST000000027,ACCT00000255,CUST000440,2015-12-13 02:29:21,Debit,1683.976459469392,Branch,Salary,Completed
HIST000000028,ACCT00000005,CUST000467,2019-10-07 20:07:01,Debit,10204.996231531546,ATM,Fuel,Completed
HIST000000029,ACCT00000465,CUST000050,2016-11-20 16:07:40,Debit,7588.025251203423,Mobile App,E-commerce,Completed
HIST000000030,ACCT00000053,CUST000411,2019-01-19 20:12:50,Debit,769.4450871605604,Online,Education,Completed
HIST000000031,ACCT00000461,CUST000100,2016-12-08 13:10:32,Debit,290.82626333026565,Online,Dining,Completed
HIST000000032,ACCT00000488,CUST000219,2016-08-21 21:58:36,Credit,8397.41026220857,ATM,Travel,Completed
HIST000000033,ACCT00000530,CUST000231,2017-11-21 23:42:00,Debit,16854.33898887811,Online,Education,Completed
HIST000000034,ACCT00000686,CUST000355,2018-03-05 05:42:59,Debit,10510.450179194351,Mobile App,Salary,Completed
HIST000000035,ACCT00000422,CUST000235,2019-08-18 11:49:54,Debit,16013.218373541647,ATM,Dining,Completed
HIST000000036,ACCT00000061,CUST000302,2019-01-06 16:00:13,Debit,1275.2463622938358,Online,Groceries,Completed
HIST000000037,ACCT00000575,CUST000155,2020-07-28 15:54:59,Credit,2882.025624333165,ATM,Salary,Completed
HIST000000038,ACCT00000125,CUST000099,2019-06-12 04:26:52,Credit,7939.780799550734,Branch,Salary,Completed
HIST000000039,ACCT00000252,CUST000366,2020-01-27 08:33:46,Credit,9307.011004887914,Mobile App,Healthcare,Completed
HIST000000040,ACCT00000039,CUST000497,2016-02-13 06:15:31,Debit,7477.518694338816,Online,Utilities,Completed
HIST000000041,ACCT00000336,CUST000461,2021-11-23 17:30:23,Credit,27183.956827598602,Branch,Utilities,Completed
HIST000000042,ACCT00000472,CUST000440,2018-01-25 21:35:23,Credit,10691.710973121286,Mobile App,Groceries,Completed
HIST000000043,ACCT00000203,CUST000146,2016-06-03 22:30:55,Debit,8283.921430550023,ATM,Fuel,Completed
HIST000000044,ACCT00000539,CUST000371,2019-07-31 20:10:19,Debit,23802.256486565435,POS,Groceries,Completed
HIST000000045,ACCT00000620,CUST000353,2017-05-29 06:42:39,Debit,12189.077111165709,POS,E-commerce,Completed
HIST000000046,ACCT00000013,CUST000388,2016-06-09 23:55:24,Credit,7108.084549901352,ATM,Entertainment,Completed
HIST000000047,ACCT00000025,CUST000081,2015-05-27 06:29:20,Credit,6621.803763542746,Mobile App,Fuel,Completed
HIST000000048,ACCT00000434,CUST000182,2019-03-14 15:20:27,Credit,11581.230262812445,Mobile App,Education,Completed
HIST000000049,ACCT00000333,CUST000179,2017-11-24 10:34:42,Credit,14240.60130701103,ATM,Dining,Completed
HIST000000050,ACCT00000347,CUST000374,2019-11-22 14:07:03,Debit,23073.766889299357,Branch,E-commerce,Completed
HIST000000051,ACCT00000045,CUST000205,2017-07-10 17:45:56,Credit,266.1998857380577,Online,Entertainment,Completed
HIST000000052,ACCT00000401,CUST000322,2018-07-04 23:25:36,Credit,8668.738091396213,POS,Salary,Completed
