Transaction_ID,Account_ID,Customer_ID,Transaction_Date,Transaction_Type,Amount,Balance_After,Channel,Merchant_Category,Transaction_Status
TXN000000001,ACCT00000044,CUST000346,2023-06-18 12:53:03,Debit,7651.42,,Mobile App,E-commerce,Completed
TXN000000002,ACCT00000554,CUST000158,2024-09-09 20:40:13,Debit,3693.95,,Mobile App,Salary,Completed
TXN000000003,ACCT00000211,CUST000273,2025-07-05 02:30:14,Credit,72135.95,,ATM,Healthcare,Completed
TXN000000004,ACCT00000115,CUST000140,2024-02-18 20:56:13,Debit,2313.89,,Mobile App,Utilities,Pending
TXN000000005,ACCT00000590,CUST000148,2022-01-07 06:38:26,Credit,104305.6,,Mobile App,Salary,Completed
TXN000000006,ACCT00000233,CUST000099,2024-11-28 13:46:00,Credit,71771.34,,POS,Utilities,Completed
TXN000000007,ACCT00000334,CUST000107,2025-02-10 21:31:14,Credit,111653.11,,Mobile App,Healthcare,Completed
TXN000000008,ACCT00000536,CUST000431,2024-10-17 10:42:17,Credit,88859.54,,Online,Dining,Completed
TXN000000009,ACCT00000360,CUST000069,2025-03-10 19:33:04,Credit,158534.99,,ATM,Entertainment,Completed
TXN000000010,ACCT00000656,CUST000071,2024-09-27 06:24:59,Credit,69416.41,,Online,Entertainment,Completed
TXN000000011,ACCT00000001,CUST000471,2025-10-19 12:17:44,Debit,8040.91,,POS,Salary,Completed
TXN000000012,ACCT00000074,CUST000380,2024-12-15 13:08:37,Credit,33403.76,,Online,Healthcare,Completed
TXN000000013,ACCT00000311,CUST000168,2025-07-05 22:52:38,Debit,618.84,,Mobile App,Utilities,Completed
TXN000000014,ACCT00000196,CUST000371,2022-02-06 12:21:10,Debit,12070.16,,ATM,Travel,Completed
TXN000000015,ACCT00000124,CUST000008,2022-11-18 16:46:40,Debit,6850.34,,ATM,Utilities,Pending
TXN000000016,ACCT00000260,CUST000268,2023-12-05 02:07:37,Debit,4978.41,,POS,E-commerce,Completed
TXN000000017,ACCT00000678,CUST000291,2023-09-19 00:57:33,Debit,14517.08,,Mobile App,Travel,Completed
TXN000000018,ACCT00000352,CUST000380,2023-08-26 08:16:03,Credit,72695.25,,Online,Travel,Completed
TXN000000019,ACCT00000439,CUST000416,2024-08-19 23:36:11,Credit,119221.04,,Mobile App,Dining,Completed
